Unnamed: 0,name,year,decade
556,Raisa Gorbachev,1988,1980s
557,Ronald Reagan,1988,1980s
558,Mike Tyson,1988,1980s
559,Edward James Olmos,1988,1980s
560,Lloyd Bentsen,1988,1980s
561,George H.W. Bush,1988,1980s
562,George H.W. Bush,1988,1980s
563,Jackie Joyner-Kersee,1988,1980s
564,John Sasso,1988,1980s
565,Enrique Camarena,1988,1980s
566,George H.W. Bush,1988,1980s
567,Ross Johnson,1988,1980s
568,Ronald Reagan,1988,1980s
569,Yasser Arafat,1988,1980s
570,Earth,1989,1980s
571,Gene Hackman,1989,1980s
572,Donald Trump,1989,1980s
573,Barbara Bush,1989,1980s
574,George H.W. Bush,1989,1980s
575,James Baker,1989,1980s
576,Khomeini,1989,1980s
577,John Tower,1989,1980s
578,Eduard Shevardnadze,1989,1980s
579,Kevin Costner,1989,1980s
580,Pete Rose,1989,1980s
581,Joseph Hazelwood,1989,1980s
582,Diane Sawyer,1989,1980s
583,Joseph Cicippio,1989,1980s
584,George H.W. Bush,1989,1980s
585,The Rolling Stones,1989,1980s
586,George Washington,1989,1980s
587,1989 Loma Prieta earthquake,1989,1980s
588,Arsenio Hall,1989,1980s
589,The Berlin Wall,1989,1980s
590,George H.W. Bush,1989,1980s
591,Tom Cruise,1989,1980s
592,Mikhail Gorbachev,1990,1990s
593,Joe Foss,1990,1990s
594,Nelson Mandela,1990,1990s
595,Michael Milken,1990,1990s
596,Richard Nixon,1990,1990s
597,Dan Quayle,1990,1990s
598,Andrei Sakharov,1990,1990s
599,John H. Sununu,1990,1990s
600,Mikhail Gorbachev,1990,1990s
601,Scott Turow,1990,1990s
602,Nelson Mandela,1990,1990s
603,Helmut Kohl,1990,1990s
604,David Souter,1990,1990s
605,Saddam Hussein,1990,1990s
606,Saddam Hussein,1990,1990s
607,Saddam Hussein,1990,1990s
608,King Fahd,1990,1990s
609,David Lynch,1990,1990s
610,Wynton Marsalis,1990,1990s
611,Ronald Reagan,1990,1990s
612,Dick Cheney,1990,1990s
613,Margaret Thatcher,1990,1990s
614,Bart Simpson,1990,1990s
615,George H.W. Bush,1991,1990s
616,Saddam Hussein,1991,1990s
617,Norman Schwarzkopf,1991,1990s
618,Boris Yeltsin,1991,1990s
619,Nancy Reagan,1991,1990s
620,Katie Koestner,1991,1990s
621,Geena Davis,1991,1990s
622,Saddam Hussein,1991,1990s
623,John McCarthy,1991,1990s
624,Boris Yeltsin,1991,1990s
625,Lamar Alexander,1991,1990s
626,Jodie Foster,1991,1990s
627,Anita Hill,1991,1990s
628,Oliver North,1991,1990s
629,Terry A. Anderson,1991,1990s
630,Mikhail Gorbachev,1991,1990s
631,Ted Turner,1992,1990s
632,Bill Clinton,1992,1990s
633,Ronald Reagan,1992,1990s
634,Susan Faludi,1992,1990s
635,Jay Leno,1992,1990s
636,Bill Clinton,1992,1990s
637,Garth Brooks,1992,1990s
638,Bill Clinton,1992,1990s
639,Roe v. Wade,1992,1990s
640,Roger Keith Coleman,1992,1990s
641,Ross Perot,1992,1990s
642,Sam Walton,1992,1990s
643,Ross Perot,1992,1990s
644,Bill Clinton,1992,1990s
645,Kim Zmeskal,1992,1990s
646,George H.W. Bush,1992,1990s
647,Woody Allen,1992,1990s
648,Hillary Clinton,1992,1990s
649,Candice Bergen,1992,1990s
650,George H.W. Bush,1992,1990s
651,Bill Clinton,1992,1990s
652,Bill Clinton,1992,1990s
653,Bill Clinton,1992,1990s
654,Princess Diana,1992,1990s
655,Bill Clinton,1993,1990s
656,Rita Collins,1993,1990s
657,Bill Clinton,1993,1990s
658,Zoe Baird,1993,1990s
659,Bill Clinton,1993,1990s
660,Bill Clinton,1993,1990s
661,David Koresh,1993,1990s
662,Boris Yeltsin,1993,1990s
663,David Koresh,1993,1990s
664,Hillary Clinton,1993,1990s
665,Jack Kevorkian,1993,1990s
666,Janet Reno,1993,1990s
667,David Letterman,1993,1990s
668,Yitzhak Rabin,1993,1990s
669,Michael Durant,1993,1990s
670,Eddie Vedder,1993,1990s
671,Howard Stern,1993,1990s
672,Billy Graham,1993,1990s
673,Fidel Castro,1993,1990s
674,Bob Eaton,1993,1990s
675,Yitzhak Rabin,1994,1990s
676,Tonya Harding,1994,1990s
677,Tonya Harding,1994,1990s
678,Louis Farrakhan,1994,1990s
679,Aldrich Ames,1994,1990s
680,Hillary Rodham,1994,1990s
681,Bill Clinton,1994,1990s
682,Richard Nixon,1994,1990s
683,Nelson Mandela,1994,1990s
684,War in Rwanda,1994,1990s
685,Jacqueline Kennedy,1994,1990s
686,Dwight D. Eisenhower,1994,1990s
687,Kim Il Sung,1994,1990s
688,O.J. Simpson,1994,1990s
689,Vladimir Zhirinovsky,1994,1990s
690,Fidel Castro,1994,1990s
691,Robert Sandifer,1994,1990s
692,Jimmy Carter,1994,1990s
693,Bill T. Jones,1994,1990s
694,Newt Gingrich,1994,1990s
695,Susan Smith,1994,1990s
696,William Shatner,1994,1990s
697,Newt Gingrich,1994,1990s
